"id";"cod_produto";"nome";"marca";"preco_custo";"preco_venda";"data_entrada";"fornecedor";"quantidade";"lucro_porcentagem";"lucro_real"
100;"6939020447530";"TECLADO GAME TPC 045";"HOOPSON";67.50;133;"21/03/2017";"TESTE";2;97.03703703703704;65.5
16;"7898127603456";"ANTENA EXTERNA P/ MODEM 3G";"AQUARIO";68;130;"17/03/2017";"TESTE";0;91.17647058823529;62.0
23;"7898501110570";"LNB KU DUPLO ";"BEDIN SAT";19;65;"18/03/2017";"TESTE";1;242.10526315789474;46.0
53;"7898563933148";"BATERIA 2016 LITIO";"MOX";1.20;2.50;"18/03/2017";"TESTE";0;108.33333333333334;1.3
32;"6942449542816";"BATERIA P/ TELEFONE S/ FIO 3,6V ";"BAP";8.50;18.00;"18/03/2017";"TESTE";2;111.76470588235294;9.5
47;"7898941172190";"BATERIA 2025 LITIO";"BR";1.10;2.50;"18/03/2017";"TESTE";1;127.27272727272725;1.4
18;"TL0101 16091014793";"CINE HD ";"TOCOMSAT";375;780;"  -  -    ";"TESTE";0;108.0;405.0
113;"6939020443150";"MOUSE GAMER  MS-014";"HOOPSON";25.00;55.00;"21/03/2017";"TESTE";1;120.0;30.0
116;"027242786080";"CARTÃO DE MEMORIA 32GB SDHC";"SONY";52.80;170.00;"21/03/2017";"TESTE";1;221.96969696969697;117.2
8;"821831073106";"TONER BROTHER ";"KATUN";45;180.00;"  -  -    ";"TESTE";1;300.0;135.0
43;"7897013536069";"PILHA RECARREGAVEL AAA  1000mAh (PAR) ENCARTELADO";"ELGIN";11.00;18;"18/03/2017";"TESTE";0;63.63636363636363;7.0
42;"7891825420516";"PILHA RECARREGAVEL AAA 2700mAh";"DS";3.00;7.00;"  -  -    ";"TESTE";4;133.33333333333331;4.0
41;"7898563932998";"PILHA RECARREGAVEL AAA (PAR) ENCARTELADO";"MOX";12.00;18;"18/03/2017";"TESTE";0;50.0;6.0
46;"it1880855";"BATERIA RECARREGAVEL 3.6VAA800mAh TELEFONE RURAL ";"INTELBRAS";33;75;"18/03/2017";"TESTE";0;127.27272727272727;42.0
19;"";"LNB MONOPONTO";"DIVERSAS";18;45;"02-06-2017";"TESTE";-2;150.0;27.0
6;"7898506477760";"TONER MULTILASER  CT0301";"MULTILASER";38;87.00;"17/03/2017";"TESTE";2;128.94736842105263;49.0
2;"7878990030702";"CARREGADOR USB P/ IPHONE 10W";"IMPORTADO";14.00;35.00;"15/03/2017";"TESTE";0;50;10.0
50;"025215736476";"BATERIA 2032 LITIO";"MAXELL";2.85;5;"18/03/2017";"TESTE";0;75.43859649122805;2.15
11;"07899692601922";"TONER P/ HP ";"CHINAMATE";59.00;155;"17/03/2017";"TESTE";0;162.71186440677968;96.0
33;"4891199004896";"BATERIA P/ TELEFONE S/ FIO 3.6V";"GP";15.00;32.0;"18/03/2017";"TESTE";5;113.33333333333333;17.0
25;"2013103100117";"LNB CARONA 1X1 ";"PREMIUM BOX";45;96.00;"18/03/2017";"TESTE";1;113.33333333333333;51.0
3;"7898506460366";"PINO ADAPTADOR TRIPOLAR INTERNO";"DIVERSOS";3.5;7;"14-02-2020";"TESTE";13;166.66;5.0
12;"7893423072418";"FITA P/ IPRESSORA EPSON LX-350";"LUCANE";11;22;"  -  -    ";"TESTE";0;100.0;11.0
28;"7898594122436";"BATERIA RECARREGAVEL 9V ";"KNUP";15.5;29;"13-06-2020";"TESTE";0;107.6923076923077;14.0
70;"EM201713VGA";"EMENDA VGA";"EXBOM";2.50;10.00;"10-11-2022";"TOINHO VARIEDADS";2;85.71428571428571;6.0
1;"6920150516043";"LASER 3 IN 1 LED LIGHT";"IMPORTADO";2.50;8.00;"  -  -    ";"TESTE";4;50;1.0
45;"7898563932400";"PILHA RECARREGAVEL AA  MO-AA2600B4  (PCT COM 4 UND)";"MOX";23;43;"24-02-2022";"TESTE";0;81.81818181818183;4.5
68;"7898605606313";"TRANSMISSO FM  LE-84";"LELONG";15;33;"24-10-2020";"TESTE";0;83.33333333333334;15.0
71;"13642500";"ADAPTADOR DVI MACHO/HDMI FEMEA";"IMPORTADO";24.00;32;"19/03/2017";"TESTE";0;33.33333333333333;8.0
63;"7898563933087";"BATERIA P/ MAQUINA FOTOGRAFICA 740mAh MO-LI42B";"MOX";28.50;45.00;"  -  -    ";"TESTE";0;57.89473684210527;16.5
7;"7898149183899";"TONER MULTILASER CT12A";"MULTILASER";52;87;"30-12-2020";"TESTE";1;128.94736842105263;49.0
57;"7898563935487";"BATERIA ALCALINA LR 1130";"MOX";0.45;1.5;"06-10-2018";"TESTE";0;122.22222222222223;0.55
13;"010343902053";"FITA P/ IPRESSORA EPSON LX-350/LX300/LX300+";"EPSON";23;38;"16-04-2021";"TESTE";1;73.68421052631578;14.0
49;"008562007642";"BATERIA 2032 LITIO";"LITHIUN";1;3;"20-04-2020";"TESTE";0;100.0;2.5
35;"7898931946787";"BATERIA P/ TELEFONE S/ FIO 3.6V 600mAh";"MOX";8.00;17.00;"18/03/2017";"TESTE";0;112.5;9.0
54;"7898941172220";"BATERIA ALCALINA LR 1130/389A";"BR";0.45;1.00;"19-06-2017";"TESTE";0;122.22222222222223;0.55
56;"7898941172237";"BATERIA ALCALINA LR 41/392A";"BR";0.45;1.00;"08-05-2017";"TESTE";70;122.22222222222223;0.55
58;"2041100";"BATERIA ALCALINA L 1154 AG13 1.5V";"CAMERA BATTERY";0.65;1.50;"  -  -    ";"TESTE";0;130.76923076923077;0.85
20;"7898926682485";"LNB KU SIMPLES ";"GREATEK";15;55;"18-03-2022";"TESTE";0;200.0;30.0
30;"7897013534249";"BATERIA 9V ALCALINA";"ELGIN";7.50;15.00;"27-01-2023";"TAMBASA";0;85.71428571428571;6.0
9;"8806086446327";"TONER SAMSUNG MLT-D111L";"SAMSUNG";187;298.00;"17/03/2017";"TESTE";0;59.35828877005348;111.0
59;"201714001400";"BATERIA RECARREGAVEL P/ LANTERNA TÁTICA 4200mAh";"IMPORTADO";6.00;14.00;"19/03/2017";"TESTE";3;133.33333333333331;8.0
5;"7898506454785";"TONER MULTILASER CT85A";"MULTILASER FABRICA";41.5;82;"11-06-2022";"TESTE";12;128.94736842105263;49.0
4;"7898506475018";"TONER MULTILASER CT283";"MULTILASER (TOINHO E MULTILASER)";58;92.0;"02-05-2023";"TOINHO VARIEDADS";2;128.94736842105263;49.0
66;"7898594120081";"MEMORY CARD P/ PLAY 2 8MB";"KNUP";15.0;25.0;"20-10-2023";"NI HAO";8;108.33333333333333;13.0
97;"HUB20172400USB";"HUB USB 4 PORTAS";"IMPORTADO";10.00;24.00;"21/03/2017";"TESTE";0;140.0;14.0
105;"7898554602176";"MULTIMETRO DIGITAL";"HYX";15.50;34.00;"21/03/2017";"TESTE";2;119.35483870967742;18.5
111;"7898401632059";"MODEM VDSL TD 5336";"TECHNICOLOR";55.00;188.00;"07-06-2017";"TESTE";1;241.8181818181818;133.0
132;"7899031540738";"CABO PARA IMPRESSORA DE 3MTS";"LEADERSHIP";11.00;19;"23/03/2017";"TESTE";1;72.72727272727273;8.0
73;"7898506459728";"TEE  TRIPOLAR ";"MULTILASER";6.00;10.00;"  -  -    ";"TESTE";0;66.66666666666666;4.0
93;"7899718700738";"CABO  HDMI 3MTS";"EX BOM";11.00;28.00;"09-10-2017";"TESTE";1;136.36363636363635;15.0
77;"885909686889";"CABO DE DADOS P/ IPHONE 4/4S";"APPLE";10;35.00;"  -  -    ";"TESTE";0;94.44444444444444;17.0
82;"7896689112652";"SUPORTE P/ TV SBRUB 10"" a 85""";"BRASFORMA";18.00;48;"27-05-2017";"TESTE";0;166.66666666666669;30.0
78;"7892016695409";"CAMPAINHA S/ FIO ";"MISAKE";17.50;38;"19/03/2017";"TESTE";0;117.14285714285715;20.5
126;"7896418820261";"TECLADO USB SLIM";"CLONE";15.80;25.00;"23/03/2017";"TESTE";0;58.22784810126581;9.2
114;"6939020447318";"MOUSE OPTICO S/ FIO MS-031";"HOOPSON";16.70;37.00;"30-10-2017";"TESTE";0;121.55688622754492;20.3
148;"CAB20171800HD";"CABO P/ EXTERNO 3.0";"";5;18;"23/03/2017";"TESTE";10;260.0;13.0
103;"4718937592852";"MODEM ROTEADOR ADSL WIFI AMG1302-T15C";"ZIXEL";45;148;"21/03/2017";"TESTE";1;228.88888888888889;103.0
62;"4891199011504";"BATERIA ALCALINA  27A 12V";"HIGH VOLTAGE";3.50;7.50;"  /  /    ";"TESTE";2;114.28571428571428;4.0
121;"7890552083148";"TECLADO USB";"NIPONIC";27.00;35;"23/03/2017";"TESTE";0;29.629629629629626;8.0
88;"7892190000273";"CABO EXTENSÃO P/ TELEFONE DE 3MTS";"INTERNEED";2.85;7.00;"19/03/2017";"TESTE";1;145.61403508771932;4.15
112;"6939020447400";"MOUSE GAME GX -58";"GOOPSON";35.00;77.00;"21/03/2017";"TESTE";0;120.0;42.0
91;"7898505863359";"CABO DE REDE 5MTS";"IDEA";5.00;11.00;"19/03/2017";"TESTE";0;120.0;6.0
79;"7892016695201";"CAMPAINHA S/ FIO ";"MISAKE";17.50;38.00;"19/03/2017";"TESTE";0;117.14285714285715;20.5
98;"USB2017700CR";"USB CARREGADOR P/ CARRO 2 SAIDAS";"IMPORTADO";4;7;"  -  -    ";"TESTE";0;75.0;3.0
145;"7898945045353";"CABO RCA PROFISSIONAL ";"LOUD";20;30;"23/03/2017";"TESTE";2;50.0;10.0
182;"7898506454662";"MOUSE FIT USB MO156 ";"MULTILASER";15.85;29;"23/03/2017";"TESTE";1;82.96529968454259;13.15
64;"BA201747RU";"BATERIA P/ CELULAR RURAL ";"IMPORTADO";18.50;47.00;"27-06-2017";"TESTE";2;88.0;22.0
125;"7898506477012";"TECLADO P/ SMART TV E PC";"MULTILASER";98.00;185.00;"23/03/2017";"TESTE";0;88.77551020408163;87.0
101;"6939020444508";"TECLADO GAME TPC 041";"HOOPSON";42.75;83.00;"21/03/2017";"TESTE";0;94.15204678362574;40.25
89;"7899718701643";"CABO DE REDE 10MTS";"EXBOM";11;22;"29-05-2018";"TESTE";0;69.23076923076923;9.0
850;"7898558911380";"HUN USB 4 PORTAS";"MOX";11;19;"05-02-2018";"TESTE";0;72.72727272727273;8.0
69;"SW201749HDMI";"SWITCH HDMI SY-HD02";"IMPORTADO";28.00;49;"19/03/2017";"TESTE";0;75.0;21.0
117;"6939020447448";"FONE BLUETOOTH F-037";"HOOPSON";75;125.00;"08-11-2018";"TESTE";0;104.91803278688525;64.0
162;"7898605601158";"CARREGADOR P/ IPHONE LE-9019";"LELONG";25;58;"23/03/2017";"TESTE";1;132.0;33.0
838;"7898291540045";"SOLDA DE ESTANIO";"";4.10;8;"09-01-2018";"TESTE";0;95.12195121951221;3.9000000000000004
171;"6885398354959";"CARREGADOR P/ TABLET ";"VERDE";11;24;"23/03/2017";"TESTE";4;118.18181818181819;13.0
115;"6939020447288";"CASE P/ HD DE NOTEBOOK";"HOOPSON";20.50;45.00;"30-10-2017";"TESTE";0;119.51219512195121;24.5
99;"6939020447523";"TECLADO GAME TPC 044";"HOOPSON";67.5;133;"21/03/2017";"TESTE";0;97.03703703703704;65.5
152;"7899382602956";"CABO 2 USB x MINI 5P";"SUKRAM";10.8;19;"26-04-2018";"TESTE";0;66.66666666666666;8.0
140;"7898605600847";"CABO P2 x RCA";"LELONG";4.8;10;"23/03/2017";"TESTE";2;108.33333333333334;5.2
166;"064736368735";"CARREGADOR SAMSUNG P/ CELULAR";"SAMSUNG";10;15;"23/03/2017";"TESTE";2;150.0;15.0
153;"7899704605016";"CABO HDMI x MICRO HDMI";"SKY";8;18;"  -  -    ";"TESTE";0;125.0;10.0
158;"7898455791740";"CABO P/ CONTROLE PLAY 3";"RONTEK";8;13;"23/03/2017";"TESTE";0;62.5;5.0
136;"7895315014407";"ALICATE DE CORTAR FIO";"EDA";17.00;35;"23/03/2017";"TESTE";1;105.88235294117648;18.0
122;"7898942722509";"TECLADO USB MULTIMIDIA PRETO";"FORTREK";38.00;57;"23/03/2017";"TESTE";0;50.0;19.0
139;"6908793370116";"CABO AUDIO E VIDEO P/ PLAY2";"P2";6.00;15;"23/03/2017";"TESTE";0;150.0;9.0
142;"6991040459528";"CABO RCA P/ DVD RUN E TENG";"RUN & TENG";3.15;8;"19-05-2020";"TESTE";0;166.66666666666669;5.0
86;"7898455795328";"CABO EXTENSÃO P/ TELEFONE DE 7MTS";"RONTEK";4.50;13;"12-01-2019";"TESTE";0;144.44444444444443;6.5
164;"5648943218950";"CARREGADOR P/ TABLET 9V 2.5A";"HBH";11;24;"23/03/2017";"TESTE";9;118.18181818181819;13.0
138;"7898605602513";"CABO AUDIO E VIDEO P/ PLAY 2 LE-1019";"LELONG";7.0;25.0;"20-10-2023";"NI HAO";3;150.0;9.0
67;"4911546782328";"MEMORY CARD P/ PLAY 2";"HC2-10020";9;25;"22-08-2018";"TESTE";0;127.27272727272727;14.0
90;"7899718701636";"CABO DE REDE  5MTS";"CABO X";9;14;"12-06-2020";"TESTE";0;120.0;6.0
72;"7898605604999";"KIT DE CHAVE TORX P/ CELULAR LE-953";"LELONG";15.00;28.00;"15-01-2022";"NI HAO";6;115.38461538461537;15.0
129;"7898942722486";"TECLADO USB MULTIMIDIA STANDARD ";"FORTREK";22.00;35.00;"  -  -    ";"TESTE";0;59.09090909090909;13.0
151;"7899382602918";"CABO P/ HD EXTERNO 3.0";"SUKRAM ";18.00;25;"23/03/2017";"TESTE";1;38.88888888888889;7.0
83;"6985201466883";"CABO EXTENSÃO P/ TELEFONE 20MTS";"CONEXÃO";7;25;"08-11-2018";"TESTE";1;92.3076923076923;12.0
127;"7898953501018";"TECLADO E MOUSE S/ FIO KP-2012";"KNUP";70;155.0;"20-10-2023";"NI HAO";1;72.72727272727273;40.0
94;"7237558977796";"CARREGADOR TURBO";"MOTOROLA";33;68;"19-12-2019";"TESTE";0;209.0909090909091;46.0
156;"6939285612018";"CABO USB x P3.5MM P/ CX DE SOM";"";2.5;7;"23/03/2017";"TESTE";2;180.0;4.5
84;"7898455792921";"CABO EXTENSÃO P/ TELEFONE DE 15MTS";"RONTEK";9.00;22;"12-01-2019";"TESTE";2;144.44444444444443;13.0
130;"7899718701537";"CABO P/ IMPRESSOR 10MTS";"EX BOM";22;37.0;"20-10-2023";"NI HAO";2;107.14285714285714;15.0
119;"7898594120302";"TECLADO MINI  USB STANDARD";"KNUP";28.0;65.0;"20-10-2023";"NI HAO";0;80.0;20.0
123;"7898942722493";"TECLADO USB MULTIMIDIA BRANCO";"FORTREK";39.00;57.00;"  -  -    ";"TESTE";0;46.15384615384615;18.0
76;"4547597815526";"CABO PARA IPHONE 6S 1M";"IPHONE";15;35.0;"05-04-2024";"YURY";11;111.11111111111111;20.0
144;"6901125123466";"CABO RCA P/ DVD 3MTS";"AOWEIXUN";4.50;10;"23/03/2017";"TESTE";0;122.22222222222223;5.5
213;"7898459611402";"ADAPTDOR P/ CELULAR  ";"ELDTEC";17;35;"28/03/2017";"TESTE";1;105.88235294117648;18.0
159;"6985201466500";"CABO USB MACHO x MACHO";"";2.25;8;"23-05-2017";"TESTE";0;133.33333333333331;8.0
160;"6951460008003";"CARREGADOR USB2 SAIDA";"INOVA";9;18;"  -  -    ";"TESTE";1;100.0;9.0
187;"6955727790137";"MOUSE GAME  FC-5600";"GAMING MOUSE";31.00;67;"  -  -    ";"TESTE";1;116.12903225806453;36.0
133;"7730922066527";"CABO PARA IMPRESSORA DE 3MTS";"KOLKE";4.2;11;"23/03/2017";"TESTE";0;161.9047619047619;6.8
174;"6925749730107";"MOUSE USB ";"WEBO";12;25;"23/03/2017";"TESTE";0;108.33333333333333;13.0
168;"7898578490025";"CAREEGADOR P/ CELULAR ";"DOTCELL";7.65;18;"  -  -    ";"TESTE";0;80.0;8.0
163;"885909219698";"CAREGADOR USB P/ IPHONE 12W";"APPLE";21;43;"23/03/2017";"TESTE";3;80.0;20.0
170;"6942449780287";"CARREGADOR  P/ CELULAR  K750";"BOYU";4;10;"23/03/2017";"TESTE";0;150.0;6.0
172;"2993501043707";"CARREGADOR  P/ CELULAR ";"EX BOM";4;10;"23/03/2017";"TESTE";0;150.0;6.0
176;"7898506457045";"MOUSE MO 167";"MULTILASER";24;35;"23/03/2017";"TESTE";2;45.83333333333333;11.0
134;"7898455793164";"CABO PARA IMPRESSORA DE 3MTS";"RONTEK";6.00;13.00;"23/03/2017";"TESTE";0;116.66666666666667;7.0
194;"7898506454464";"CONTROLE P/ PC XPAD ";"MULTILASER";95;145;"  -  -    ";"TESTE";0;52.63157894736842;50.0
201;"7897408603185";"EXTENSÃO  ELÉTRICA 1.5MTS";"TECHNA";8;15;"24/03/2017";"TESTE";1;87.5;7.0
220;"7898602480398";"CONVERSOR DIGITAL ";"HOT SAT";106.00;190.00;"01/04/2017";"TESTE";0;79.24528301886792;84.0
222;"2993500220406";"TRENA LASER";"ULTRASONIC";65.00;125;"03/04/2017";"TESTE";2;92.3076923076923;60.0
188;"03880349973434";"CONTROLE ORIGINAL P/ XBOX ";"XBOX";175;245;"24/03/2017";"TESTE";0;40.0;70.0
185;"7898942722233";"MOUSE USB ";"FORTREK";18.00;34;"  -  -    ";"TESTE";0;88.88888888888889;16.0
217;"7636490063428";"HD EXTERNO 1 TB EXPANSION";"SEAGATE";220;345;"16-04-2018";"TESTE";0;57.14285714285714;140.0
167;"7898939560787";"HUB USB ";"NEW LINK";11;22;"  -  -    ";"TESTE";0;100.0;11.0
149;"7898931486030";"CONVERSOR DIGITAL  FIT BOX";"CENTURY";140;260;"22-08-2017";"TESTE";0;85.71428571428571;120.0
183;"7898506454679";"MOUSE USB FIT MO 157";"MULTILASER";14.80;29;"  -  -    ";"TESTE";0;95.94594594594594;14.2
177;"7898506453788";"MOUSE USB  MO 139";"MULTILASER";16.80;28;"13-07-2017";"TESTE";2;66.66666666666666;11.2
232;"BAT20178700REC";"BATERIAPORTATIL P/ CELULAR";"SAMSUNG";55;87;"05/04/2017";"TESTE";0;58.18181818181818;32.0
237;"6229844192115";"KIT DE CHAVE  DE PRECISÃO P/ CELULAR";"IMPORTADO";18;35;"05/04/2017";"TESTE";0;100.0;18.0
247;"7898221072264";"ALICATE DE CRIMPAR RJ11";"SMART";18;26;"  /  /    ";"TESTE";3;44.44444444444444;8.0
181;"7898595270600";"MOUSE USB  MS-201";"OEX";14.85;27;"  -  -    ";"TESTE";0;81.81818181818183;12.15
186;"7898506474486";"MOUSE GAME WARRIOR";" MULTILASER";62.50;115.00;"24/03/2017";"TESTE";0;84.0;52.5
202;"7897408603277";"EXTENSÃO  ELÉTRICA 3MTS";"TECHNA";13;23;"10-03-2017";"TESTE";0;225.0;9.0
165;"6921613513180";"CARREGADOR P/ TABLET ";"RUN TENG";13;24;"23/03/2017";"TESTE";1;84.61538461538461;11.0
852;"7892472910085";"ESTABILIZADOR ELETRONICO";"MICROLINE";245.00;315.00;"10-02-2018";"TESTE";0;28.57142857142857;70.0
175;"7899718713936";"MOUSE USB  COLORIDO";"EXBOM";13;28;"23/03/2017";"TESTE";0;115.38461538461537;15.0
180;"7898939561036";"MOUSE USB FIT";"NEW LINK";7.8;15.00;"27-03-2019";"TESTE";0;92.3076923076923;7.2
157;"7898455809117";"CABO USB FEMEA xRJ 45";"RONTEK";10;17;"23/03/2017";"TESTE";1;70.0;7.0
184;"7898595270587";"MOUSE USB MS 201";"OEX";14.8;27;"23/03/2017";"TESTE";1;82.43243243243242;12.2
147;"7898455790750";"CABO P2 X P2";"RONTEK";3.5;8;"  -  -    ";"TESTE";0;128.57142857142858;4.5
178;"7898506457038";"MOUSE USB MO 166";"MULTILASER";23.50;35;"23/03/2017";"TESTE";0;48.93617021276596;11.5
255;"BAT201766SBOX";"BATERIA P/ XBOX 360 35000mAh";"IMPORTADO";28;66;"05/04/2017";"TESTE";0;135.71428571428572;38.0
261;"6936103634542";"ADAPTADOR USB/PS2";"KNUP";15;25;"05/04/2017";"TESTE";2;66.66666666666666;10.0
260;"4555654550600";"CABO HDMI x VGA 3MTS";"IMPORTADO";25;38;"05/04/2017";"TESTE";2;52.0;13.0
204;"FONE20172500AM569";"FONE DE OUVIDO  AM-569";"MEX";12;25;"24/03/2017";"TESTE";1;108.33333333333333;13.0
230;"17898635101656";"CARREGADOR RAPIDO P/ CELULAR";"INOVA";9.00;19.00;"03/04/2017";"TESTE";1;111.11111111111111;10.0
225;"5889950372017";"CABO USB V8 P/ CELULAR";"MEX";2.50;8.00;"03/04/2017";"TESTE";1;220.00000000000003;5.5
250;"7899009057251";"FERRO DE SOLDA 40W";"WORKER";28;48;"05/04/2017";"TESTE";0;71.42857142857143;20.0
205;"7898939560695";"FONE DE OUVIDO P/ PC PROFESSIONAL";"NEW LINK";22;37;"  -  -    ";"TESTE";0;68.18181818181817;15.0
197;"7937289285237";"CONTROLE P/ PLAY 2 SEM FIO";"VERDE";24;59;"05-01-2018";"TESTE";1;71.05263157894737;27.0
190;"7898458702408";"CONTROLE P/ PC JOY PAD";"MULTILASER";22;34.00;"14-12-2018";"TESTE";0;54.54545454545454;12.0
196;"7898939560404";"CONTROLE P/ PLAY 2";"NEW LINK";18;35;"24/03/2017";"TESTE";0;94.44444444444444;17.0
137;"7899718712793";"CONVERSOR HDMI x VGA";"EXBOM";25;58;"17-04-2021";"TESTE";0;141.66666666666669;34.0
229;"6935364020071";"SWITCH 8 PORTAS";"TP LINK";54;89;"  -  -    ";"TESTE";0;64.81481481481481;35.0
191;"7898506467297";"CONTROLE PS/PS3/PC JS072";"MULTILASER";122;184;"13-10-2018";"TESTE";0;50.81967213114754;62.0
238;"TEC20173300NUM";"TECLADO NUMERICO P/ NOTEBOOK";"IMPORTADO";15;33;"05/04/2017";"TESTE";0;120.0;18.0
146;"6991040459689";"CABO USB MACHO X USB MACHO";"HBH";3;8;"08-03-2019";"TESTE";1;133.33333333333331;4.0
198;"6915421214582";"CONTROLE P/  PS2/PS3/PC";"FUNCTION";45;75;"24/03/2017";"TESTE";0;66.66666666666666;30.0
251;"7898458700800";"TELEFONE VOIP";"MULTILASER";25;35;"  -  -    ";"TESTE";0;40.0;10.0
223;"7899718701438";"CABO EXTENSOR USB 10MTS ";"EXBOM";18.00;35;"09-10-2021";"TESTE";0;118.75;19.0
169;"09125546";"CARREGADOR P/ CELULAR";"ZC";4;10;"30-12-2019";"TESTE";1;150.0;6.0
155;"7898605603091";"CABO P2 x RCA";"LELONG";6;15;"11-03-2022";"TESTE";2;122.22222222222223;5.5
203;"7897408603062";"FILTRO DE LINHA ELETRICO";"TECHNA";18.50;36;"19-12-2019";"TESTE";0;64.70588235294117;11.0
210;"7898554605221";"INJETOR P/ FONTE POE (UND)";"FORTREK";7.50;42;"24-08-2022";"TESTE";4;126.66666666666666;9.5
143;"7899718700516";"CABO RCA P/ DVD";"EXBOM";5.0;12.0;"23-12-2021";"TESTE";0;166.66666666666669;5.0
218;"7898552003180";"CELULAR PIXI4 ONETOUCH";"ALCATEL";200;249;"  -  -    ";"TESTE";1;95.0;190.0
235;"7898506475711";"CARREGADOR PORTATIL P/ BATERIA";"MULTILASER";28;55;"02-08-2017";"TESTE";1;459.99999999999994;23.0
224;"BLU20175700TOTH";"FONE BLUETOTH HEADSET";"SAMSUNG";25;57.00;"13-06-2017";"TESTE";2;128.0;32.0
219;"6978990026185";"CABO HDMI C/ MALHA 1.8M";"";14;25;"30/03/2017";"TESTE";0;78.57142857142857;11.0
263;"6902393582078";"CABO HDMI x VGA";"IMPORTADO";15;28;"05/04/2017";"TESTE";1;86.66666666666667;13.0
270;"6905524663868";"CABOVIDEO COMPONENTE P/ PSP";"IMPORTADO";20;35;"05/04/2017";"TESTE";1;75.0;15.0
211;"ADAP2017B22032";"ADAPTDOR P/ CELULAR B220 ";"LINKER/LG";15;37;"11-07-2017";"TESTE";0;77.77777777777779;14.0
214;"7898127600141";"ADAPTDOR P/ MODEM 4G";"AQUARIO/OUTRO";32;55;"28/03/2017";"TESTE";4;71.875;23.0
258;"885370115802";"BATERIA P/ XBOX";"IMPORTADO";28;66;"05/04/2017";"TESTE";0;135.71428571428572;38.0
254;"6900214000008";"BATERIA P/ XBOX 360 4800mAh";"IMPORTADO";23;48;"05/04/2017";"TESTE";0;108.69565217391303;25.0
284;"ROT2017485004G";"ROTEADOR 4G MAX MF253M";"ZTE";250;485;"07/04/2017";"TESTE";0;94.0;235.0
226;"2993500177502";"MULTIMETRO DIGITAL ";"PRECISION";13;33.00;"08-03-2018";"TESTE";0;153.84615384615387;20.0
209;"7898127600219";"ADAPTADOR PIG TAIL ";"AQUARIO";28;45;"28/03/2017";"TESTE";3;60.71428571428571;17.0
212;"ADAP2017A27532";"ADAPTDOR P/ CELULAR LG A275 ";"LINKER";17;32;"  -  -    ";"TESTE";0;88.23529411764706;15.0
102;"USB2017700CR";"CARREGADOR VEICULAR USB";"IMPORTADO";4;7;"21/03/2017";"TESTE";0;75.0;3.0
245;"7899382600167";"ALICATE DE CRIMPAR RJ45";"SUKRAM";15;33;"05/04/2017";"TESTE";0;120.0;18.0
215;"7898942722523";"TECLADO MINI USB";"FORTREK";37;58;"  -  -    ";"TESTE";0;56.75675675675676;21.0
334;"886112694548";"CARTUCHO 670 AZUL 3.5ml";"HP";31;48;"12/04/2017";"TESTE";1;54.83870967741935;17.0
335;"886112694593";"CARTUCHO 670 XL MARGENTA";"HP";52;78;"12/04/2017";"TESTE";1;50.0;26.0
336;"886112694586";"CARTUCHO 670 XL AZUL";"HP";52;78;"12/04/2017";"TESTE";1;50.0;26.0
337;"886112694609";"CARTUCHO 670 XL AMARELO";"HP";52;78;"12/04/2017";"TESTE";1;50.0;26.0
